,Job Name,Size,Media Name,Copy,Total Print Time,Material Width (in),Print Width (in),Esitmated Material Length (in),Material Area (in),Extra for Lead in,Print Length (in),Print Area (in),Cyan:,Magenta:,Yellow:,Black:,Light Magenta:,Light Cyan:,Light Black,Sum of Ink,Ink CC sq ft,Material Type,Post Processing,Print Job Type,Material Waste,Above Waste Allowance
54,JDS Masonry JLG  Equip decals 11 20 + Mo Amer Water Hazard Symbol 11 19_HPW60_LAMI.eps,9156090.0,3M™ IJ180Cv3,1.0,0:44:00,60.0,58.1,152.6110236,9156.661416,30,122.6110236,7123.70047116,0.585,7.556,4.753,2.632,4.236,1.462,2.51,23.734,0.4797901451,High Performance White,Laminated,Multi Print Job,0.22201988830641728,0
55,34X110 Moving Banner 12-11-24_Back_BAN38.eps,6111986.0,Generic Banner II,1.0,0:22:00,38.0,36.01,122.4862205,4654.476379,10,112.4862205,4050.628800205,0.432,5.249,4.34,2.426,3.128,2.346,2.152,20.073,0.7135209849,Banner,Not Laminated,Single Print Job,0.12973480357950262,0
56,Caplaco Thai Touch_HPW24_LAMI.eps,5649886.0,3M™ IJ180Cv3,1.0,0:09:00,24.0,21.47,67.81929134,1627.6629921600002,30,37.81929134,811.9801850698,0.082,0.486,0.388,0.519,0.436,0.212,0.332,2.455,0.4353385714,High Performance White,Laminated,Single Print Job,0.5011374043761623,1
57,34X110 Moving Banner 12-11-24_BAN38.eps,6093982.0,Generic Banner II,1.0,0:25:00,38.0,36.01,122.4862205,4654.476379,10,112.4862205,4050.628800205,0.437,5.25,4.341,2.429,3.132,2.367,2.154,20.11,0.7148361982,Banner,Not Laminated,Single Print Job,0.12973480357950262,0
58,Mabry Tree Logo Final 12 12 24+Gershman Comm Cedars West Port Flex1 12 11 24_HPW30_LAMI.eps,17201470.0,3M™ IJ180Cv3,1.0,0:07:00,30.0,27.99,49.19448819,1475.8346457,30,19.19448819,537.2537244381,0.327,0.069,0.602,0.138,0.451,0.412,0.551,2.55,0.6835778701,High Performance White,Laminated,Multi Print Job,0.6359661795422371,1
59,temp banner_BAN63.eps,6457962.0,Generic Banner II,1.0,0:28:00,63.0,45.39,118.1385827,7442.7307101,10,108.1385827,4908.410268753,0.24,4.987,7.504,2.384,6.637,1.665,3.154,26.571,0.7795484221,Banner,Not Laminated,Single Print Job,0.340509490408924,1
60,Central_5_12.11.24_INT30.eps,74929186.0,Generic Vinyl II HD,1.0,0:13:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.572,0.345,0.193,0.146,0.858,0.655,0.831,3.6,0.3059489022,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
61,Central_4_12.11.24_INT30.eps,77248738.0,Generic Vinyl II HD,1.0,0:15:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.567,0.342,0.191,0.145,0.85,0.65,0.823,3.568,0.3032293564,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
62,Central_3_12.11.24_INT30.eps,77030018.0,Generic Vinyl II HD,1.0,0:13:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.568,0.343,0.192,0.145,0.852,0.651,0.825,3.576,0.3039092429,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
63,Central_2_12.11.24_INT30.eps,76930602.0,Generic Vinyl II HD,1.0,0:12:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.568,0.343,0.192,0.145,0.852,0.651,0.825,3.576,0.3039092429,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
64,Central_1_12.11.24_INT30.eps,77057202.0,Generic Vinyl II HD,1.0,0:16:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.568,0.343,0.192,0.145,0.853,0.652,0.826,3.579,0.3041642003,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
65,West_2_12.11.24_INT30.eps,77508182.0,Generic Vinyl II HD,1.0,0:13:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
66,West_3_12.11.24_INT30.eps,78167778.0,Generic Vinyl II HD,1.0,0:14:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
67,West_2_12.11.24_INT30.eps,77508182.0,Generic Vinyl II HD,1.0,0:15:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.567,0.343,0.192,0.145,0.854,0.652,0.825,3.578,0.3040792145,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
68,West_1_12.11.24_INT30.eps,77615242.0,Generic Vinyl II HD,1.0,0:15:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.568,0.343,0.192,0.145,0.855,0.653,0.826,3.582,0.3044191577,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
69,East_3_12.11.24_INT30.eps,69945246.0,Generic Vinyl II HD,1.0,0:13:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.569,0.344,0.193,0.146,0.856,0.654,0.828,3.59,0.3050990441,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
70,East_2_12.11.24_INT30.eps,76911358.0,Generic Vinyl II HD,1.0,0:15:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.569,0.344,0.193,0.146,0.856,0.654,0.828,3.59,0.3050990441,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
71,East_1_12.11.24_INT30.eps,76638490.0,Generic Vinyl II HD,1.0,0:15:00,30.0,26.24,74.58346457,2237.5039371000003,10,64.58346457,1694.6701103168,0.57,0.344,0.193,0.146,0.857,0.655,0.829,3.594,0.3054389874,Intermediate White,Not Laminated,Single Print Job,0.24260686999584014,0
72,St. RA banner 3x6 8th grade Boys Volleyball 12-9-24_BAN38.eps,16187110.0,Generic Banner II,1.0,0:15:00,38.0,37.0,84.0,3192.0,10,74.0,2738.0,1.291,0.794,6.695,7.03,5.402,5.125,4.176,30.513,1.604774288,Banner,Not Laminated,Single Print Job,0.1422305764411027,0
73,4x20 banner The Future Clement Super Center 12-11-24_BAN63.eps,9637790.0,Generic Banner II,1.0,1:05:00,63.0,50.01,252.4862205,15906.6318915,10,242.4862205,12126.735887204999,0.579,13.6,11.662,5.064,8.213,4.826,5.666,49.61,0.5890538237,Banner,Not Laminated,Single Print Job,0.23763019287036224,0
74,Cottleville_225th_Decal_HPW24_LAMI.eps,3684818.0,3M™ IJ180Cv3,1.0,0:05:00,24.0,19.72,38.888976378,933.3354330720001,30,8.888976378,175.29061417416,0.037,0.134,0.136,0.011,0.138,0.065,0.097,0.618,0.50762993,High Performance White,Laminated,Single Print Job,0.8121890501925929,1
75,Cottleville_225th_Decal_HPW24_LAMI.eps,3684818.0,3M™ IJ180Cv3,1.0,0:07:00,24.0,19.72,38.888976378,933.3354330720001,30,8.888976378,175.29061417416,0.037,0.134,0.136,0.011,0.138,0.065,0.097,0.618,0.50762993,High Performance White,Laminated,Single Print Job,0.8121890501925929,1
76,2024 Boys Soccer champ banner 12-9-24_BAN38_FLL.eps,6856158.0,Generic Banner II,1.0,0:16:00,38.0,38.0,84.12480315,3196.7425197000002,10,74.12480315,2816.7425197000002,0.657,8.767,6.462,3.545,3.724,2.571,2.792,28.518,1.497325703,Banner,Not Laminated,Single Print Job,0.11887100623783153,0
