Printer,Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Lenght,Print Lenght,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq in,MATERIAL FORMULA 1,MATERIAL FORMULA 2
Roland,Ilos Van logos 4 11 24_part2.eps,04/29/2024,0:06:02,0,18.60,18.59724409,533.8946623,Can't Estimate Waste,,0.3379543059,,
Roland,Incentive Concepts logo_ADDITIONAL_HPW36.eps,07/15/2024,0:26:59,4502,125.04,95.04173228,3096.751498,0.312062674,"High Performance White 36""",0.3068092485,"High Performance White 36""",
Roland,Incentive Concepts_Remake Letters_HPW48.eps,07/03/2024,0:10:56,3405,70.94,40.93543307,1473.095403,0.5673602565,"Water Damaged HP White 54"" to 48""",0.6107628861,"Water Damaged HP White 54"" to 48""",
Roland,INSERTS Small and Large NEW blk-white 9-18-24_RUB36.eps,09/19/2024,0:09:01,1570,43.62,28.62480315,922.7441957,0.4124493095,"Roll-up Banner 36""",1.304786316,"Roll-up Banner 36""",
Roland,INSERTS Small Redo  HONEY BEE WELL  9-24-24_RUB36.eps,10/02/2024,0:01:56,612,17.01,2.013779528,44.9738809,0.9265727837,"Roll-up Banner 36""",1.39280842,"Roll-up Banner 36""",
Roland,Integrate 4x4 Cons Proj 9 6 24_P1_INT54.eps,09/11/2024,0:21:01,6157,114.01,99.01338583,4868.145143,0.2092960373,"Intermediate White 54""",0.3124541187,"Intermediate White 54""",
Roland,Integrate 4x4 Cons Proj 9 6 24_P2_INT54.eps,09/11/2024,0:21:57,6173,114.32,99.31929134,4883.185457,0.2089754997,"Intermediate White 54""",0.2279495649,"Intermediate White 54""",
Roland,Integrate 4x4 Cons Proj 9 6 24_P3_INT54.eps,09/11/2024,0:32:57,8768,162.38,147.3751969,7313.465133,0.1659160874,"Intermediate White 54""",0.2586833964,"Intermediate White 54""",
Roland,Integrate 4x4 Cons Proj 9 6 24_P4_INT54.eps,09/13/2024,0:28:02,7791,144.28,99.27795276,4881.152982,0.3734890178,"Intermediate White 54""",0.6084332966,"Intermediate White 54""",
Roland,Integrate Fire arm Tobacco 2x2 signs 9 6 24_INT54.eps,09/12/2024,0:37:59,10165,188.25,113.2492126,5675.033968,0.4417335394,"Intermediate White 54""",2.7129407,"Intermediate White 54""",
Roland,Integrate Fire arm Tobacco 2x2 signs 9 6 24_RGB_INT54.eps,09/12/2024,0:26:00,6382,118.19,88.19409449,4419.496352,0.307558255,"Intermediate White 54""",1.7276507,"Intermediate White 54""",
Roland,Integrated Facilities Fort Zumwalt RTU # 8 6 24_HPW54.eps,08/06/2024,0:20:59,4642,85.96,55.95826772,2881.828757,0.379149899,"High Performance White 54""",0.3009588956,"High Performance White 54""",
Roland,Integrated Zumwalt RYU Only decals 8 7 24_HPW54.eps,08/08/2024,0:25:59,7273,134.68,104.6807087,4924.320659,0.322908795,"High Performance White 54""",0.3392435456,"High Performance White 54""",
Roland,interior panel vinyl_HPW54.eps,07/09/2024,0:45:58,9041,167.43,137.4307087,7089.097984,0.2159168808,"High Performance White 54""",1.255011007,"High Performance White 54""",
Roland,interior wall logos need 2 - 1 up UPDATED 2 & Rischards Building Supply 2024_HPW30.eps,04/15/2024,0:11:01,3113,57.65,27.65275591,795.7788161,0.7443895871,"High Performance White 30""",0.6217607079,"High Performance White 30""",
Roland,interior wall logos need 2 UPDATED_HPW54.eps,04/15/2024,0:58:04,20725,399.52,159.5220472,7566.180944,0.6349192097,"High Performance White 54""",5.041843228,"High Performance White 54""",
Roland,interior wall logos need 2_HPW30.eps,04/11/2024,0:13:57,2340,78.01,48.01377953,1331.701872,0.4309971564,"High Performance White 30""",0.7740110771,"High Performance White 30""",
Roland,Interlude Butterfly Vinyl Decal for window SURFACE  3-27-24_HPW36.eps,04/09/2024,0:49:05,10076,279.88,189.8751969,6070.698764,0.3974795797,"High Performance White 36""",2.180530531,"High Performance White 36""",
Roland,JA Timline Poster_66x28_updated  10-11-24_THP54.eps,10/11/2024,0:30:00,4431,82.06,67.05551181,1916.652446,0.5674444893,"Thick Paper/ Heavy Paper 54""",0.2860236874,"Thick Paper/ Heavy Paper 54""",
Roland,JDS Masonry Equipment decals 10 15 24 + JE_HPW30.eps,10/16/2024,0:39:00,6564,218.81,188.8055118,5380.957087,0.1802526603,"High Performance White 30""",0.2783683229,"High Performance White 30""",
Roland,JE Foster Airport Mags 4 2 24_Mag24.eps,04/02/2024,0:09:58,1585,66.03,36.02755906,795.102697,0.4982507378,"Magnet 24""",0.4266920503,"Magnet 24""",
Roland,JE Foster Bobcat 2 28 24_HPW24.eps,05/08/2024,0:20:00,3250,135.42,75.41653543,1330.240795,0.5906947432,"High Performance White 24""",0.5280648684,"High Performance White 24""",
Roland,JE Foster FCI Large wall logo 8 5 24_HPW54.eps,08/06/2024,0:29:58,8714,161.38,131.3751969,4634.596265,0.4681595534,"High Performance White 54""",0.2374109711,"High Performance White 54""",
Roland,JE Foster Ford #30 & 31 2 5 24 [Recovered].eps,02/06/2024,0:14:56,0,37.90,37.90275591,1571.382602,Can't Estimate Waste,,0.4244720537,,
Roland,JE Foster Grey Lock Box 50% scale 4 27 24_HPW60.eps,04/30/2024,1:14:02,20633,343.89,283.8889764,16075.1574,0.2209134097,"High Performance White 60""",0.8463086027,"High Performance White 60""",
Roland,JE Foster Grey Lock Box 50% scale 6 25 24_HPW60.eps,06/27/2024,1:12:59,15025,328.89,283.8889764,16075.1574,-0.06989372323,"High Performance White 60""",0.8111218866,"High Performance White 60""",
Roland,JE Foster Grey Lock Box 50% scale 7 9 24_HPW60.eps,07/09/2024,0:52:56,10317,171.94,141.9444882,8037.578702,0.2209134097,"High Performance White 60""",0.4055609433,"High Performance White 60""",
