,Unnamed: 0,REF,Review_Date,Cocoa_Percent,Rating,Company Latitude,Company Logitude,Company_Location_Count,Bean Origin Longitude,Bean Origin Latitude,Bean_Origin_Count,clusters,cluster
1321,1321,1844,2016,0.7,3.25,35.91,127.77,5,-84.0739,9.7489,1,0,pink
1322,1322,1061,2013,0.75,3.25,-18.77,46.87,17,46.8691,-18.7669,56,0,pink
1323,1323,1061,2013,0.68,3.25,-18.77,46.87,17,46.8691,-18.7669,2,0,pink
1324,1324,923,2012,0.66,3.5,55.37,-1.17,95,-61.6042,12.1165,1,0,pink
1325,1325,1748,2016,0.75,3.75,37.09,-95.71,738,-86.2419,15.2,1,0,pink
1326,1326,1446,2015,0.7,3.75,37.09,-95.71,738,-66.5897,6.4238,1,0,pink
1327,1327,1566,2015,0.75,3.25,37.09,-95.71,738,-63.5887,-16.2902,1,0,pink
1328,1328,1209,2014,0.8,3.75,37.09,-95.71,738,-66.5897,6.4238,11,0,pink
1329,1329,1038,2013,0.7,3.5,37.09,-95.71,738,46.8691,-18.7669,1,0,pink
1330,1330,1081,2013,0.7,3.5,37.09,-95.71,738,-70.1627,18.7357,1,0,pink
